2026-04-16 13:41:49.810 | INFO     | freqtrade_gui.process          | Process started | cmd=T:\ae\pyside6\.venv\Scripts\python.exe -m freqtrade backtesting --user-data-dir T:\ae\pyside6\user_data --config T:\ae\pyside6\user_data\config.json --strategy-path T:\ae\pyside6\user_data\strategies --strategy MultiMeee --timeframe 5m --export trades --timerange 20250421-20260416 -p ADA/USDT ETH/USDT --max-open-trades 2 --dry-run-wallet 80.0 | cwd=T:\ae\pyside6\user_data
2026-04-16 13:41:49.948 | DEBUG    | freqtrade_gui.process          | stderr chunk: 63 bytes
2026-04-16 13:41:51.612 | DEBUG    | freqtrade_gui.process          | stderr chunk: 126 bytes
2026-04-16 13:41:51.614 | DEBUG    | freqtrade_gui.process          | stderr chunk: 81 bytes
2026-04-16 13:41:51.614 | DEBUG    | freqtrade_gui.process          | stderr chunk: 123 bytes
2026-04-16 13:41:51.614 | DEBUG    | freqtrade_gui.process          | stderr chunk: 171 bytes
2026-04-16 13:41:51.614 | DEBUG    | freqtrade_gui.process          | stderr chunk: 119 bytes
2026-04-16 13:41:51.615 | DEBUG    | freqtrade_gui.process          | stderr chunk: 136 bytes
2026-04-16 13:41:51.615 | DEBUG    | freqtrade_gui.process          | stderr chunk: 149 bytes
2026-04-16 13:41:51.615 | DEBUG    | freqtrade_gui.process          | stderr chunk: 278 bytes
2026-04-16 13:41:51.616 | DEBUG    | freqtrade_gui.process          | stderr chunk: 129 bytes
2026-04-16 13:41:51.616 | DEBUG    | freqtrade_gui.process          | stderr chunk: 137 bytes
2026-04-16 13:41:51.616 | DEBUG    | freqtrade_gui.process          | stderr chunk: 114 bytes
2026-04-16 13:41:51.617 | DEBUG    | freqtrade_gui.process          | stderr chunk: 220 bytes
2026-04-16 13:41:51.617 | DEBUG    | freqtrade_gui.process          | stderr chunk: 120 bytes
2026-04-16 13:41:51.618 | DEBUG    | freqtrade_gui.process          | stderr chunk: 91 bytes
2026-04-16 13:41:51.622 | DEBUG    | freqtrade_gui.process          | stderr chunk: 148 bytes
2026-04-16 13:41:51.622 | DEBUG    | freqtrade_gui.process          | stderr chunk: 107 bytes
2026-04-16 13:41:51.624 | DEBUG    | freqtrade_gui.process          | stderr chunk: 112 bytes
2026-04-16 13:41:51.625 | DEBUG    | freqtrade_gui.process          | stderr chunk: 329 bytes
2026-04-16 13:41:51.629 | DEBUG    | freqtrade_gui.process          | stderr chunk: 142 bytes
2026-04-16 13:41:51.633 | DEBUG    | freqtrade_gui.process          | stderr chunk: 89 bytes
2026-04-16 13:41:52.682 | DEBUG    | freqtrade_gui.process          | stderr chunk: 111 bytes
2026-04-16 13:41:52.699 | DEBUG    | freqtrade_gui.process          | stderr chunk: 158 bytes
2026-04-16 13:41:52.699 | DEBUG    | freqtrade_gui.process          | stderr chunk: 140 bytes
2026-04-16 13:41:52.700 | DEBUG    | freqtrade_gui.process          | stderr chunk: 143 bytes
2026-04-16 13:41:52.700 | DEBUG    | freqtrade_gui.process          | stderr chunk: 303 bytes
2026-04-16 13:41:52.701 | DEBUG    | freqtrade_gui.process          | stderr chunk: 558 bytes
2026-04-16 13:41:52.701 | DEBUG    | freqtrade_gui.process          | stderr chunk: 340 bytes
2026-04-16 13:41:52.702 | DEBUG    | freqtrade_gui.process          | stderr chunk: 364 bytes
2026-04-16 13:41:52.702 | DEBUG    | freqtrade_gui.process          | stderr chunk: 371 bytes
2026-04-16 13:41:52.703 | DEBUG    | freqtrade_gui.process          | stderr chunk: 223 bytes
2026-04-16 13:41:52.703 | DEBUG    | freqtrade_gui.process          | stderr chunk: 290 bytes
2026-04-16 13:41:52.704 | DEBUG    | freqtrade_gui.process          | stderr chunk: 283 bytes
2026-04-16 13:41:52.704 | DEBUG    | freqtrade_gui.process          | stderr chunk: 318 bytes
2026-04-16 13:41:52.705 | DEBUG    | freqtrade_gui.process          | stderr chunk: 391 bytes
2026-04-16 13:41:52.717 | DEBUG    | freqtrade_gui.process          | stderr chunk: 198 bytes
2026-04-16 13:41:52.726 | DEBUG    | freqtrade_gui.process          | stderr chunk: 131 bytes
2026-04-16 13:41:52.830 | DEBUG    | freqtrade_gui.process          | stderr chunk: 141 bytes
2026-04-16 13:41:52.988 | DEBUG    | freqtrade_gui.process          | stderr chunk: 141 bytes
2026-04-16 13:41:53.038 | DEBUG    | freqtrade_gui.process          | stderr chunk: 143 bytes
2026-04-16 13:41:54.076 | DEBUG    | freqtrade_gui.process          | stderr chunk: 109 bytes
2026-04-16 13:41:54.078 | DEBUG    | freqtrade_gui.process          | stderr chunk: 110 bytes
2026-04-16 13:41:54.078 | DEBUG    | freqtrade_gui.process          | stderr chunk: 53 bytes
2026-04-16 13:41:54.078 | DEBUG    | freqtrade_gui.process          | stderr chunk: 142 bytes
2026-04-16 13:41:54.078 | DEBUG    | freqtrade_gui.process          | stderr chunk: 100 bytes
2026-04-16 13:41:54.079 | DEBUG    | freqtrade_gui.process          | stderr chunk: 98 bytes
2026-04-16 13:41:54.264 | DEBUG    | freqtrade_gui.process          | stderr chunk: 152 bytes
2026-04-16 13:41:55.970 | DEBUG    | freqtrade_gui.process          | stderr chunk: 382 bytes
2026-04-16 13:41:55.989 | DEBUG    | freqtrade_gui.process          | stderr chunk: 156 bytes
2026-04-16 13:41:56.170 | DEBUG    | freqtrade_gui.process          | stdout chunk: 509 bytes
2026-04-16 13:41:56.171 | DEBUG    | freqtrade_gui.process          | stdout chunk: 434 bytes
2026-04-16 13:41:56.172 | DEBUG    | freqtrade_gui.process          | stdout chunk: 267 bytes
2026-04-16 13:41:56.174 | DEBUG    | freqtrade_gui.process          | stdout chunk: 381 bytes
2026-04-16 13:41:56.176 | DEBUG    | freqtrade_gui.process          | stdout chunk: 265 bytes
2026-04-16 13:41:56.177 | DEBUG    | freqtrade_gui.process          | stdout chunk: 526 bytes
2026-04-16 13:41:56.179 | DEBUG    | freqtrade_gui.process          | stdout chunk: 282 bytes
2026-04-16 13:41:56.180 | DEBUG    | freqtrade_gui.process          | stdout chunk: 509 bytes
2026-04-16 13:41:56.181 | DEBUG    | freqtrade_gui.process          | stdout chunk: 349 bytes
2026-04-16 13:41:56.182 | DEBUG    | freqtrade_gui.process          | stdout chunk: 533 bytes
2026-04-16 13:41:56.187 | DEBUG    | freqtrade_gui.process          | stdout chunk: 3332 bytes
2026-04-16 13:41:56.192 | DEBUG    | freqtrade_gui.process          | stdout chunk: 871 bytes
